Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,avg_mpg,weight_est,vehicle_age,power_to_weight,hp_per_cylinder,displacement_est
BMW,1 Series M,2011,premium unleaded (required),335.0,6.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,26,19,3916,46135,22.85,4780.0,15,0.0700836820083682,55.833333333333336,2400.0
BMW,1 Series,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,40650,23.950000000000003,4500.0,15,0.06666666666666667,50.0,2400.0
BMW,1 Series,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,36350,24.400000000000002,4500.0,15,0.06666666666666667,50.0,2400.0
BMW,1 Series,2011,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,18,3916,29450,23.5,3940.0,15,0.0583756345177665,38.333333333333336,2400.0
BMW,1 Series,2011,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,18,3916,34500,23.5,3940.0,15,0.0583756345177665,38.333333333333336,2400.0
BMW,1 Series,2012,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,18,3916,31200,23.5,3940.0,14,0.0583756345177665,38.333333333333336,2400.0
BMW,1 Series,2012,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,26,17,3916,44100,21.950000000000003,4500.0,14,0.06666666666666667,50.0,2400.0
BMW,1 Series,2012,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,39300,24.400000000000002,4500.0,14,0.06666666666666667,50.0,2400.0
BMW,1 Series,2012,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,18,3916,36900,23.5,3940.0,14,0.0583756345177665,38.333333333333336,2400.0
BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,27,18,3916,37200,22.950000000000003,3940.0,13,0.0583756345177665,38.333333333333336,2400.0
BMW,1 Series,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,39600,24.400000000000002,4500.0,13,0.06666666666666667,50.0,2400.0
BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,19,3916,31500,23.950000000000003,3940.0,13,0.0583756345177665,38.333333333333336,2400.0
BMW,1 Series,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,44400,23.950000000000003,4500.0,13,0.06666666666666667,50.0,2400.0
BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,19,3916,37200,23.950000000000003,3940.0,13,0.0583756345177665,38.333333333333336,2400.0
BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,19,3916,31500,23.950000000000003,3940.0,13,0.0583756345177665,38.333333333333336,2400.0
BMW,1 Series,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,25,18,3916,48250,21.85,4660.0,13,0.06866952789699571,53.333333333333336,2400.0
BMW,1 Series,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,43550,24.400000000000002,4660.0,13,0.06866952789699571,53.333333333333336,2400.0
Audi,100,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,20.85,3476.0,34,0.04948216340621404,28.666666666666668,2400.0
Audi,100,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,20.85,3476.0,34,0.04948216340621404,28.666666666666668,2400.0
Audi,100,1992,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,20,16,3105,2000,18.2,3476.0,34,0.04948216340621404,28.666666666666668,2400.0
Audi,100,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,20.85,3476.0,34,0.04948216340621404,28.666666666666668,2400.0
Audi,100,1992,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,21,16,3105,2000,18.75,3476.0,34,0.04948216340621404,28.666666666666668,2400.0
Audi,100,1993,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,20.85,3476.0,33,0.04948216340621404,28.666666666666668,2400.0
Audi,100,1993,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,20,16,3105,2000,18.2,3476.0,33,0.04948216340621404,28.666666666666668,2400.0
Audi,100,1993,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,20.85,3476.0,33,0.04948216340621404,28.666666666666668,2400.0
Audi,100,1993,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,20.85,3476.0,33,0.04948216340621404,28.666666666666668,2400.0
Audi,100,1993,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,21,16,3105,2000,18.75,3476.0,33,0.04948216340621404,28.666666666666668,2400.0
Audi,100,1994,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Wagon,21,16,3105,2000,18.75,3476.0,32,0.04948216340621404,28.666666666666668,2400.0
Audi,100,1994,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,22,16,3105,2000,19.3,3476.0,32,0.04948216340621404,28.666666666666668,2400.0
Audi,100,1994,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,22,17,3105,2000,19.75,3476.0,32,0.04948216340621404,28.666666666666668,2400.0
Audi,100,1994,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,22,16,3105,2000,19.3,3476.0,32,0.04948216340621404,28.666666666666668,2400.0
Audi,100,1994,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,21,16,3105,2000,18.75,3476.0,32,0.04948216340621404,28.666666666666668,2400.0
FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,27495,30.950000000000003,2980.0,9,0.053691275167785234,40.0,1600.0
FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,24995,30.950000000000003,2980.0,9,0.053691275167785234,40.0,1600.0
FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,28195,30.950000000000003,2980.0,9,0.053691275167785234,40.0,1600.0
Mercedes-Benz,190-Class,1991,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000,22.4,2740.0,35,0.04744525547445255,32.5,1600.0
Mercedes-Benz,190-Class,1991,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000,21.400000000000002,3364.0,35,0.0469678953626635,26.333333333333332,2400.0
Mercedes-Benz,190-Class,1992,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000,21.400000000000002,3364.0,34,0.0469678953626635,26.333333333333332,2400.0
Mercedes-Benz,190-Class,1992,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000,22.4,2740.0,34,0.04744525547445255,32.5,1600.0
Mercedes-Benz,190-Class,1993,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000,22.4,2740.0,33,0.04744525547445255,32.5,1600.0
Mercedes-Benz,190-Class,1993,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000,21.400000000000002,3364.0,33,0.0469678953626635,26.333333333333332,2400.0
BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,32850,29.6,3620.0,10,0.06629834254143646,60.0,1600.0
BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,Convertible,34,23,3916,38650,29.050000000000004,3620.0,10,0.06629834254143646,60.0,1600.0
